Temperature ,Cu Dose (mol%),Concentration (ppm),Response
160,1.25,57.76,257.39
160,0.12,28.37,211.89
200,2.91,61.43,318.62
280,3.27,94.49,166.64
240,2.63,87.14,218.76
120,2.95,76.12,279.15
200,0.85,28.37,256.2
240,2.22,76.12,204.59
120,3.07,55.92,269.31
120,1.74,48.57,240.06
200,2.38,13.67,285.2
240,1.37,94.49,194.69
160,1.41,90.82,277.77
160,2.34,65.1,286.08
240,3.64,39.39,195.29
120,1.33,79.8,246.53
200,2.87,41.22,308.18
160,1.01,32.04,238.4
200,1.82,24.69,278.52
120,0.89,55.92,223.08
240,3.43,66.94,211.3
120,0.77,94.49,239.26
240,1.13,98.16,190.51
120,2.42,46.73,254.4
240,2.63,52.24,201.1
120,0.08,17.35,181.19
120,2.46,98.16,281.12
120,1.74,54.08,242.91
280,1.94,98.16,149.93
280,3.84,17.35,122.43
280,2.46,52.24,137.96
240,3.23,85.31,222.18
280,3.43,87.14,161.23
200,2.55,70.61,316.88
240,1.05,88.98,183.9
120,3.52,41.22,257.37
240,3.52,33.88,194.05
160,0.77,48.57,240.18
120,0.69,79.8,229.6
280,3.76,13.67,121.42
160,0.93,52.24,246.45
240,0.57,83.47,168.52
280,2.75,94.49,164.6
160,2.99,94.49,313.18
160,3.39,54.08,288.68
280,3.43,22.86,129.19
280,0.32,70.61,95.03
160,3.31,92.65,309.45
240,2.1,24.69,176.37
200,3.19,17.35,296.57
240,2.67,10.0,180.69
160,3.19,59.59,293.76
280,1.74,21.02,106.39
280,1.98,39.39,121.34
280,0.69,55.92,97.83
160,1.29,79.8,269.26
120,0.0,59.59,199.55
160,3.52,11.84,266.66
120,2.38,50.41,255.19
200,4.0,32.04,296.28
200,0.28,15.51,234.06
240,2.67,74.29,212.82
240,1.29,17.35,153.97
200,2.55,39.39,301.37
200,2.06,57.76,300.01
160,2.91,87.14,307.91
160,3.27,90.82,308.65
200,1.58,85.31,303.04
280,2.18,44.9,128.53
240,3.8,19.18,183.71
280,0.4,44.9,84.28
160,0.53,81.63,249.93
120,2.91,55.92,268.28
120,3.31,79.8,278.8
200,1.82,33.88,282.81
280,0.2,87.14,99.42
160,1.7,65.1,271.57
160,1.62,22.86,248.76
160,2.18,17.35,258.71
280,1.7,21.02,105.83
160,1.09,70.61,260.18
200,1.41,76.12,294.61
280,1.62,54.08,120.6
200,2.26,48.57,299.89
200,1.17,55.92,278.56
200,0.53,59.59,263.0
280,2.26,22.86,118.8
120,0.24,52.24,203.44
160,3.39,15.51,269.79
200,3.92,32.04,296.62
240,2.34,65.1,201.95
200,2.59,79.8,322.02
160,3.92,21.02,267.78
240,3.56,24.69,189.09
160,2.06,88.98,291.68
200,1.49,28.37,272.79
240,3.6,11.84,182.04
280,0.61,52.24,93.94
120,0.16,22.86,185.99
120,1.41,87.14,251.79
280,1.98,66.94,135.06
120,1.98,52.24,248.08
280,1.86,50.41,123.93
200,2.06,11.84,277.01
200,0.81,43.06,262.46
280,1.13,77.96,120.6
280,1.05,26.53,92.47
280,0.85,41.22,94.59
200,0.04,96.33,267.42
160,3.68,87.14,302.65
280,2.91,92.65,166.51
200,0.28,72.45,262.5
280,0.69,10.0,74.71
200,0.04,59.59,249.22
240,3.96,26.53,185.72
200,0.0,17.35,226.62
240,3.19,43.06,201.6
200,3.68,100.0,333.48
160,3.23,96.33,311.86
120,3.03,61.43,272.53
240,0.0,90.82,155.53
200,3.88,32.04,297.01
200,2.42,30.2,293.67
200,3.72,46.73,306.52
160,2.91,24.69,276.05
280,3.92,54.08,139.78
280,1.98,70.61,136.89
280,1.29,81.63,126.33
120,2.59,35.71,252.04
160,3.64,26.53,273.12
240,2.26,79.8,207.39
120,1.7,52.24,241.38
200,2.59,68.78,316.49
160,2.42,65.1,287.6
240,2.02,33.88,179.14
160,3.39,19.18,271.65
280,0.53,21.02,75.89
200,1.37,54.08,282.29
240,3.19,30.2,195.09
200,2.42,65.1,311.15
240,1.74,66.94,189.71
200,0.53,52.24,258.83
280,1.9,21.02,110.1
200,3.68,81.63,324.29
200,0.97,28.37,259.43
160,2.26,98.16,300.57
120,2.18,65.1,258.61
120,2.06,37.55,241.98
200,1.86,44.9,288.96
280,1.41,70.61,123.72
240,2.42,43.06,192.42
160,2.22,63.27,282.3
200,1.98,85.31,312.25
120,2.18,35.71,243.36
120,3.19,92.65,286.06
240,1.9,30.2,174.92
280,2.99,43.06,143.67
240,3.56,77.96,215.68
120,2.38,94.49,277.37
160,0.93,10.0,225.04
120,2.46,54.08,258.99
160,2.18,44.9,272.51
240,2.02,66.94,195.93
280,0.65,26.53,81.93
200,2.91,70.61,323.31
160,0.77,28.37,230.43
120,2.95,50.41,266.16
120,0.2,21.02,186.64
200,3.07,65.1,321.96
240,3.64,43.06,197.4
120,3.43,87.14,281.03
240,2.71,54.08,203.72
280,0.36,46.73,84.24
160,2.99,37.55,284.82
160,2.3,15.51,260.09
160,2.63,39.39,279.12
280,1.66,85.31,137.07
240,3.92,63.27,204.42
240,2.34,87.14,212.95
200,2.46,22.86,291.04
280,3.03,85.31,164.02
280,2.83,77.96,157.95
160,2.1,21.02,258.85
240,1.49,44.9,172.57
120,2.55,74.29,270.24
200,2.14,41.22,294.24
120,3.84,43.06,255.34
200,1.01,52.24,272.35
160,2.34,22.86,264.73
160,2.38,41.22,274.61
280,2.83,72.45,154.97
240,0.16,41.22,135.28
120,1.13,76.12,239.33
200,3.35,44.9,308.91
200,0.85,74.29,279.16
160,1.7,79.8,278.97
200,1.33,35.71,272.38
200,1.41,54.08,283.43
200,1.21,61.43,281.95
240,1.98,11.84,167.6
280,3.76,11.84,120.65
160,3.96,88.98,300.82
200,2.99,57.76,318.77
200,3.03,74.29,326.5
200,0.24,66.94,258.46
160,3.23,10.0,268.54
160,0.81,52.24,243.23
280,3.72,70.61,149.88
160,3.96,72.45,292.87
280,0.57,41.22,87.19
240,1.37,13.67,153.89
120,0.81,24.69,205.38
120,2.02,21.02,232.35
240,2.75,35.71,195.23
200,3.35,79.8,326.66
240,3.84,28.37,187.78
160,1.54,46.73,258.69
120,1.98,35.71,239.69
120,0.12,30.2,188.64
160,1.78,24.69,253.4
240,2.95,98.16,230.32
120,0.4,85.31,224.27
200,2.87,83.47,329.38
240,1.13,22.86,153.02
240,2.75,85.31,219.94
280,0.85,43.06,95.36
160,3.72,68.78,293.45
280,3.19,79.8,160.35
280,3.52,88.98,161.28
280,2.34,22.86,120.82
120,0.93,83.47,237.92
280,4.0,30.2,126.98
200,3.23,44.9,310.14
280,1.66,30.2,109.16
280,0.89,35.71,93.17
160,0.0,52.24,219.96
120,1.41,54.08,235.26
240,1.05,54.08,166.75
280,3.6,92.65,162.42
200,0.53,63.27,265.03
280,1.66,10.0,99.53
240,1.21,76.12,181.57
120,3.39,57.76,266.8
200,2.71,24.69,296.73
280,0.61,77.96,106.42
240,0.24,90.82,162.35
120,0.2,28.37,190.05
160,1.94,19.18,254.52
160,1.78,57.76,269.46
120,1.01,68.78,232.16
200,2.59,13.67,288.97
240,0.85,76.12,172.18
240,2.14,44.9,187.77
240,3.52,79.8,216.7
280,1.98,63.27,133.24
200,3.8,24.69,294.29
240,0.89,76.12,173.04
200,3.64,10.0,288.58
200,0.4,83.47,271.68
120,0.36,65.1,212.94
120,2.83,24.69,251.35
240,3.39,88.98,222.53
160,0.12,37.55,216.53
280,3.6,37.55,134.74
200,0.36,70.61,264.03
160,1.17,81.63,267.13
280,3.07,13.67,128.12
160,1.09,22.86,235.75
200,3.19,52.24,314.25
120,0.57,79.8,226.37
200,2.42,33.88,295.92
120,3.31,50.41,263.62
280,2.06,88.98,147.76
200,3.11,74.29,325.73
120,2.83,68.78,273.4
160,2.63,63.27,290.49
160,3.6,10.0,265.2
160,0.0,76.12,231.86
240,3.07,79.8,221.09
120,0.65,77.96,227.51
160,3.27,54.08,290.09
240,0.57,77.96,165.32
280,2.87,32.04,135.46
280,3.72,59.59,144.72
120,2.18,57.76,254.68
280,0.04,41.22,71.63
160,2.63,100.0,308.99
200,3.6,74.29,320.94
280,1.25,65.1,117.04
120,0.04,90.82,216.4
120,0.32,68.78,213.84
160,3.19,87.14,307.38
240,3.88,57.76,202.5
120,3.64,65.1,268.37
200,3.72,21.02,293.38
160,0.89,54.08,246.0
280,1.9,28.37,114.38
280,2.63,22.86,126.3
280,1.05,35.71,97.08
280,3.03,76.12,159.91
200,0.36,77.96,267.43
240,1.21,66.94,176.84
200,1.45,83.47,299.45
120,1.98,21.02,231.91
280,0.77,41.22,92.45
240,2.75,88.98,222.12
280,4.0,50.41,137.24
240,1.66,33.88,170.7
280,1.13,44.9,103.8
240,2.02,63.27,194.07
240,0.77,70.61,167.09
200,0.32,61.43,258.18
280,2.42,26.53,124.25
280,2.59,59.59,143.74
240,1.58,32.04,168.46
160,1.33,55.92,258.74
200,1.49,24.69,270.69
240,0.16,77.96,153.73
200,3.68,28.37,297.54
280,0.48,35.71,81.98
280,0.24,48.57,81.25
200,3.39,39.39,305.78
120,1.09,41.22,221.07
280,1.66,88.98,138.54
200,0.85,57.76,270.87
240,2.51,46.73,196.0
200,0.16,63.27,254.51
120,0.4,46.73,205.21
280,0.73,66.94,104.22
200,3.23,55.92,315.88
240,0.77,77.96,170.96
120,0.93,54.08,224.02
200,2.75,43.06,306.74
280,0.69,17.35,78.47
120,2.59,94.49,281.83
160,1.54,21.02,245.6
240,1.45,98.16,198.64
200,0.28,50.41,251.57
120,2.06,19.18,233.02
160,2.87,55.92,291.61
280,2.26,44.9,130.3
160,2.46,28.37,269.92
160,0.69,32.04,229.81
120,2.99,26.53,255.2
280,2.99,79.8,161.74
120,1.58,48.57,236.51
280,3.92,13.67,119.45
200,3.88,35.71,299.14
160,3.15,90.82,309.84
200,2.67,98.16,332.69
200,3.88,55.92,309.26
280,0.97,76.12,115.28
160,1.74,65.1,272.44
240,1.7,17.35,163.88
120,3.03,66.94,275.14
240,2.26,13.67,174.49
200,2.99,11.84,295.78
280,0.69,37.55,88.55
200,0.04,35.71,237.13
240,0.81,43.06,154.37
280,2.38,46.73,133.47
240,2.71,61.43,207.34
240,3.47,19.18,187.23
120,1.7,85.31,257.87
160,3.07,70.61,300.49
200,0.89,98.16,292.22
120,0.65,76.12,226.63
240,2.99,44.9,204.27
160,3.6,65.1,292.66
120,1.21,10.0,208.4
160,2.95,87.14,308.9
200,2.59,54.08,309.03
160,0.97,28.37,235.48
240,0.89,30.2,150.07
280,2.42,11.84,116.96
160,3.84,32.04,273.79
120,1.98,55.92,249.66
240,2.38,72.45,206.26
120,0.97,43.06,218.72
200,0.61,48.57,259.6
280,2.46,65.1,144.83
240,2.42,96.33,219.25
200,0.53,87.14,277.16
240,2.46,79.8,211.82
200,0.04,74.29,256.29
240,3.19,37.55,198.56
280,1.25,77.96,123.45
200,0.12,52.24,247.86
280,3.6,57.76,144.61
200,2.67,74.29,321.0
160,0.28,24.69,214.65
160,2.42,66.94,288.4
280,1.21,55.92,111.26
120,0.69,26.53,202.84
120,1.74,98.16,265.21
200,1.29,21.02,263.91
160,2.42,17.35,263.64
200,0.65,30.2,251.7
240,2.99,52.24,208.08
280,1.86,96.33,147.37
160,2.59,59.59,287.93
240,2.83,66.94,212.36
240,0.04,21.02,121.58
240,0.53,90.82,171.04
160,3.88,81.63,298.43
160,2.71,35.71,278.3
120,0.44,30.2,197.79
200,3.31,19.18,296.63
160,1.17,50.41,251.68
240,2.83,65.1,211.35
160,3.19,88.98,308.5
280,3.11,96.33,168.95
120,2.87,96.33,287.71
240,3.8,37.55,192.84
240,1.78,54.08,183.98
120,2.14,70.61,260.31
200,2.95,17.35,298.08
120,3.84,48.57,258.32
240,0.81,11.84,139.23
120,3.23,66.94,272.98
120,3.23,50.41,265.15
280,2.06,54.08,130.22
240,1.49,100.0,200.17
280,2.99,19.18,131.48
240,2.18,21.02,176.51
280,2.99,96.33,169.61
120,1.86,33.88,235.47
120,0.97,94.49,244.22
200,1.66,21.02,272.65
280,0.2,32.04,71.88
280,3.07,52.24,147.35
240,0.73,46.73,154.1
280,0.2,33.88,72.81
240,2.83,57.76,207.72
240,0.57,41.22,147.02
120,1.7,90.82,260.64
120,2.67,21.02,246.01
120,3.88,13.67,239.91
120,3.11,77.96,280.06
200,3.52,22.86,296.22
160,2.87,77.96,302.45
200,3.64,28.37,298.15
200,3.64,72.45,319.62
160,0.44,13.67,213.88
160,2.02,52.24,272.25
160,0.36,81.63,245.29
200,3.31,85.31,329.24
120,2.75,81.63,278.44
240,1.13,44.9,163.95
280,0.97,100.0,126.88
120,0.97,24.69,209.54
120,0.16,61.43,205.5
280,1.25,44.9,107.02
200,3.8,26.53,295.26
120,3.64,50.41,260.89
160,1.49,33.88,251.31
160,0.32,61.43,233.91
240,0.08,81.63,153.69
280,3.23,48.57,143.68
240,0.57,48.57,150.5
280,2.38,88.98,154.49
120,3.03,85.31,284.57
280,2.99,50.41,146.94
200,0.77,87.14,283.8
200,3.39,52.24,312.22
280,3.8,57.76,143.2
200,3.39,92.65,332.52
120,3.07,50.41,266.35
120,2.46,55.92,259.79
120,1.82,22.86,229.4
120,0.0,87.14,213.68
240,3.43,70.61,212.96
160,3.52,66.94,294.07
280,1.09,83.47,121.99
240,2.91,37.55,199.4
120,1.05,72.45,235.16
120,0.04,24.69,183.02
160,0.61,33.88,228.25
200,0.16,11.84,228.59
160,0.97,39.39,240.92
200,2.59,39.39,301.86
280,0.81,100.0,122.77
280,1.09,94.49,127.51
280,1.13,19.18,90.99
280,3.88,63.27,144.54
240,2.18,85.31,208.71
200,0.77,35.71,257.64
280,3.56,54.08,143.38
120,1.98,48.57,245.71
120,3.68,43.06,256.85
120,2.22,46.73,250.35
280,1.17,21.02,93.09
280,3.52,94.49,164.3
280,2.87,13.67,126.46
160,0.93,11.84,226.22
280,0.12,37.55,72.17
280,0.24,70.61,92.48
120,2.87,88.98,283.87
200,2.95,39.39,308.94
160,0.81,19.18,226.21
240,0.93,57.76,164.52
120,1.54,22.86,222.52
280,1.09,100.0,130.36
240,3.6,43.06,197.79
160,0.44,17.35,215.68
160,3.8,57.76,287.17
240,0.48,70.61,159.06
120,3.84,13.67,240.36
160,3.68,41.22,279.73
120,2.83,59.59,268.53
200,0.32,21.02,238.2
160,1.7,54.08,266.34
280,2.75,10.0,122.11
200,0.44,39.39,250.66
240,0.61,81.63,167.89
240,2.79,37.55,196.74
240,2.55,77.96,212.39
280,2.91,32.04,136.47
240,1.7,24.69,167.24
280,0.12,76.12,91.75
200,2.91,15.51,296.0
160,2.26,100.0,301.57
160,1.62,70.61,272.56
160,1.29,50.41,254.85
120,2.42,32.04,246.99
240,0.57,66.94,160.0
280,0.97,32.04,93.31
160,1.45,32.04,249.36
280,2.02,72.45,138.59
240,3.03,55.92,209.74
120,0.53,39.39,205.01
120,1.62,88.98,257.82
120,3.96,52.24,258.28
240,3.23,65.1,212.84
240,3.68,88.98,219.8
280,2.95,76.12,158.89
200,1.7,96.33,311.34
240,4.0,85.31,214.5
280,2.3,37.55,127.15
160,0.36,76.12,242.66
280,0.77,48.57,95.92
160,1.7,74.29,276.35
280,3.19,35.71,138.03
200,0.85,100.0,292.11
160,3.47,72.45,297.48
200,0.93,54.08,271.14
280,1.86,74.29,135.74
280,0.77,70.61,107.43
200,3.52,96.33,332.87
200,0.73,92.65,284.86
200,1.29,48.57,277.98
120,0.69,46.73,212.91
120,1.78,44.9,239.45
160,3.35,21.02,272.78
240,1.49,21.02,161.22
240,3.52,28.37,190.82
160,3.11,41.22,285.56
120,1.82,39.39,237.54
200,1.62,68.78,295.37
200,0.08,96.33,268.58
280,3.15,37.55,139.12
200,2.83,46.73,310.27
200,1.17,10.0,254.95
120,0.53,24.69,197.78
240,2.75,77.96,216.67
160,2.38,50.41,279.55
120,2.95,88.98,285.31
120,3.56,24.69,248.77
280,0.57,83.47,108.53
160,2.3,46.73,276.01
240,1.7,35.71,173.27
240,2.71,85.31,218.83
200,4.0,10.0,284.89
280,2.18,10.0,110.58
280,3.35,57.76,147.36
160,0.97,77.96,260.14
240,2.71,76.12,214.8
280,1.58,32.04,108.1
120,2.67,94.49,283.16
120,3.64,35.71,253.54
160,0.93,37.55,239.08
160,3.31,87.14,306.28
280,0.4,88.98,106.55
280,1.66,15.51,101.83
200,0.48,65.1,264.61
200,3.47,74.29,322.43
120,2.3,43.06,250.12
240,1.78,88.98,201.17
160,1.54,100.0,285.1
240,0.81,70.61,167.69
280,2.63,46.73,138.37
240,0.97,44.9,159.64
280,3.64,13.67,122.51
120,0.97,50.41,222.4
200,0.48,79.8,271.48
160,0.16,76.12,237.16
200,2.63,50.41,308.07
280,2.18,54.08,133.23
200,1.66,28.37,276.15
160,2.75,55.92,289.22
120,0.61,22.86,198.51
120,2.06,100.0,273.4
160,1.66,66.94,271.83
200,3.64,44.9,305.88
120,1.82,74.29,255.04
160,3.6,46.73,283.29
120,1.25,11.84,210.22
200,2.38,48.57,302.59
240,1.05,26.53,152.38
160,0.85,10.0,222.89
160,1.82,28.37,256.19
240,1.62,87.14,196.84
160,0.81,65.1,249.66
120,3.76,54.08,261.14
240,1.66,21.02,164.53
200,0.69,21.02,248.12
120,1.62,85.31,255.93
160,2.02,61.43,277.4
120,2.02,88.98,267.05
200,2.14,48.57,297.33
240,3.11,66.94,214.53
120,2.06,98.16,272.47
160,1.49,92.65,280.76
280,2.95,94.49,168.13
280,2.71,32.04,132.63
240,2.34,35.71,186.91
160,1.86,11.84,248.85
280,1.05,59.59,109.16
240,1.74,98.16,205.14
240,3.27,81.63,220.33
280,2.75,61.43,148.31
200,0.57,61.43,265.02
240,3.47,74.29,214.49
160,1.86,48.57,267.32
280,3.96,83.47,153.92
240,0.77,92.65,178.07
200,0.77,88.98,284.13
280,0.36,65.1,93.35
160,0.24,32.04,216.85
240,1.05,57.76,167.96
160,0.08,70.61,231.52
200,0.0,24.69,230.24
240,1.37,85.31,190.06
200,3.19,33.88,305.35
200,1.82,59.59,295.89
200,1.33,24.69,266.81
240,3.31,50.41,204.25
120,3.6,50.41,261.06
120,2.55,24.69,245.8
280,3.19,37.55,139.2
240,3.76,59.59,204.1
160,1.41,72.45,268.53
240,1.09,19.18,150.09
160,1.82,17.35,250.66
280,3.88,72.45,149.3
200,0.28,92.65,272.48
160,2.63,17.35,267.74
160,3.88,33.88,274.36
240,1.21,13.67,150.8
120,1.98,74.29,258.62
120,2.38,96.33,278.39
280,1.29,100.0,135.58
280,3.52,85.31,159.6
200,2.91,98.16,337.5
120,1.25,57.76,233.44
120,3.8,61.43,264.73
120,3.56,63.27,267.5
160,0.81,50.41,242.11
120,2.3,63.27,260.62
120,1.09,46.73,223.76
160,2.34,50.41,278.47
240,2.06,26.53,176.15
200,0.81,61.43,271.43
160,2.02,70.61,281.72
240,3.64,92.65,221.46
240,3.23,57.76,208.59
160,0.57,30.2,225.75
160,3.6,48.57,284.25
240,1.86,39.39,178.36
280,1.78,10.0,101.8
280,2.51,63.27,144.7
280,3.76,19.18,123.67
120,2.51,33.88,249.34
200,1.05,55.92,275.46
240,1.21,50.41,168.99
120,3.11,59.59,270.33
120,3.64,70.61,270.97
240,3.39,81.63,218.61
160,0.93,24.69,232.54
200,2.59,46.73,305.79
280,3.23,28.37,134.22
160,0.85,54.08,245.06
160,2.99,85.31,308.42
200,0.32,52.24,253.34
240,2.18,76.12,204.33
280,2.79,68.78,152.36
160,2.71,44.9,282.68
160,2.18,10.0,254.88
200,3.11,50.41,314.15
200,1.37,48.57,279.64
280,2.38,39.39,129.92
120,3.68,52.24,261.08
240,2.22,46.73,190.35
240,3.39,79.8,218.22
200,3.76,26.53,295.41
280,2.63,70.61,150.26
280,1.98,85.31,144.07
120,3.19,65.1,272.72
120,1.45,72.45,245.53
240,2.83,96.33,226.6
200,0.04,63.27,250.99
240,2.51,100.0,222.44
240,1.09,66.94,174.13
120,1.9,39.39,239.53
200,3.39,83.47,327.84
280,3.56,90.82,161.74
160,1.17,19.18,235.98
160,3.6,44.9,282.6
240,1.82,87.14,201.49
200,2.3,83.47,318.27
280,0.81,13.67,79.67
120,2.02,66.94,255.79
120,3.47,13.67,244.11
160,2.95,46.73,288.31
240,0.69,35.71,147.38
200,1.17,59.59,280.01
160,1.78,11.84,246.87
280,1.41,87.14,132.19
200,1.78,32.04,280.88
200,3.19,70.61,323.4
280,1.9,17.35,108.42
200,0.44,87.14,274.23
240,0.65,41.22,149.21
200,0.48,70.61,267.18
280,0.16,35.71,72.61
200,1.78,28.37,279.43
240,1.45,50.41,174.88
120,1.74,65.1,248.44
280,0.2,24.69,68.31
240,1.62,26.53,166.39
240,0.0,13.67,116.88
200,1.01,66.94,280.08
160,2.1,33.88,265.27
200,1.62,10.0,265.94
200,2.38,68.78,312.36
160,3.31,22.86,274.32
240,2.67,19.18,185.69
240,1.09,30.2,155.52
200,2.63,39.39,303.21
240,3.6,26.53,189.26
240,2.34,70.61,204.71
120,2.87,44.9,261.63
280,1.74,35.71,114.14
200,2.26,55.92,303.65
160,1.94,68.78,279.07
280,1.41,98.16,137.39
280,1.9,66.94,133.29
160,1.74,35.71,257.66
160,3.07,19.18,274.84
200,3.31,48.57,311.52
240,2.71,74.29,213.74
240,3.07,17.35,189.67
200,0.04,100.0,269.11
120,1.41,41.22,229.36
280,2.46,94.49,158.63
240,0.69,55.92,157.74
240,2.02,72.45,198.41
240,0.04,32.04,127.28
240,0.85,10.0,139.06
200,0.16,10.0,227.76
120,1.41,50.41,233.73
240,3.15,94.49,227.82
200,1.37,30.2,270.5
280,3.27,24.69,131.58
200,0.0,48.57,242.44
200,3.23,26.53,300.96
240,0.24,35.71,135.15
280,3.27,87.14,162.79
120,2.51,100.0,282.55
200,2.18,57.76,302.82
240,0.04,28.37,125.21
120,0.28,39.39,198.04
200,3.39,70.61,321.06
280,3.15,96.33,168.48
160,3.56,59.59,290.65
200,3.52,100.0,334.62
120,1.45,94.49,256.53
240,2.02,11.84,168.76
240,1.01,96.33,186.29
160,3.52,15.51,268.46
200,1.94,61.43,299.38
200,0.4,50.41,254.72
200,3.03,76.12,327.97
280,0.0,44.9,72.24
240,1.13,83.47,183.38
160,0.08,63.27,228.5
160,2.06,98.16,296.54
200,1.45,59.59,287.49
240,2.34,50.41,194.56
160,2.99,52.24,292.0
240,0.73,13.67,137.69
200,3.92,79.8,320.7
280,1.21,22.86,95.05
120,0.04,79.8,211.12
160,3.6,81.63,300.94
120,1.21,61.43,234.15
200,0.61,90.82,280.91
120,2.1,88.98,268.47
280,3.27,15.51,127.09
240,2.67,59.59,205.69
160,2.83,43.06,284.22
200,0.04,57.76,247.98
280,2.91,50.41,145.59
240,0.32,87.14,162.77
160,1.33,98.16,279.29
200,3.35,55.92,314.49
240,1.9,35.71,177.66
280,3.07,92.65,167.8
160,2.71,57.76,289.46
280,3.56,32.04,132.17
120,3.31,28.37,253.09
280,0.32,57.76,88.26
280,3.43,74.29,154.85
280,3.64,76.12,153.52
280,1.74,37.55,114.53
240,0.08,39.39,132.1
280,2.3,55.92,136.54
120,1.41,92.65,254.71
160,0.61,59.59,241.09
280,3.31,76.12,156.82
120,3.68,33.88,252.16
120,1.05,63.27,230.75
240,1.45,76.12,187.39
160,2.79,88.98,305.99
160,3.19,70.61,299.37
240,2.79,17.35,186.94
240,0.44,96.33,170.87
200,1.49,83.47,299.96
200,2.26,30.2,290.74
120,1.78,74.29,254.25
240,1.29,77.96,184.35
200,0.08,19.18,230.09
280,3.39,39.39,137.67
200,1.7,46.73,287.0
120,3.8,37.55,252.82
280,3.47,61.43,147.67
200,0.85,26.53,255.43
240,1.45,33.88,166.13
200,2.1,76.12,310.2
240,1.98,96.33,209.82
240,3.39,54.08,205.16
120,2.87,22.86,250.9
160,3.76,22.86,269.85
120,0.24,19.18,186.66
200,1.29,30.2,268.69
160,2.14,94.49,296.06
280,3.39,88.98,162.82
120,3.11,76.12,278.83
160,2.18,90.82,295.76
240,0.65,76.12,166.77
200,2.59,90.82,327.51
160,2.06,100.0,297.33
160,0.65,24.69,224.68
280,0.04,19.18,60.76
160,0.4,79.8,245.69
200,1.29,63.27,285.36
200,3.11,28.37,302.82
160,1.21,65.1,259.84
200,0.36,90.82,273.93
120,1.58,92.65,258.42
160,3.47,87.14,304.78
200,1.49,96.33,307.0
200,0.53,48.57,257.3
240,1.17,15.51,150.23
280,2.55,22.86,124.92
160,2.06,63.27,279.01
240,3.19,59.59,210.03
200,1.98,76.12,307.53
200,3.47,21.02,295.81
280,3.15,66.94,154.2
240,2.42,50.41,195.74
280,0.85,94.49,121.5
200,2.75,74.29,322.58
280,3.6,74.29,153.11
240,2.02,43.06,184.29
120,2.42,11.84,236.97
240,1.62,21.02,164.03
200,0.53,65.1,265.87
120,2.1,46.73,247.67
160,1.54,28.37,249.67
280,3.15,81.63,161.24
240,3.64,65.1,208.34
160,0.57,74.29,247.38
240,0.77,94.49,179.04
280,1.86,65.1,131.26
160,1.17,61.43,257.21
240,2.87,54.08,206.77
120,2.22,48.57,250.79
280,2.42,10.0,116.32
200,1.05,72.45,283.72
200,0.89,92.65,289.0
120,1.54,15.51,219.16
200,3.15,28.37,302.16
240,2.3,61.43,199.29
200,0.2,81.63,264.66
120,2.79,19.18,248.12
200,3.07,21.02,299.85
200,3.56,13.67,291.17
120,2.18,43.06,247.54
240,1.54,87.14,195.07
160,2.63,77.96,298.04
200,3.35,96.33,334.28
200,2.95,54.08,316.09
240,3.64,52.24,201.59
160,2.51,76.12,294.5
160,0.69,37.55,232.77
280,0.93,81.63,116.94
200,0.73,87.14,282.36
280,0.08,50.41,77.62
160,3.52,13.67,267.93
160,3.07,33.88,282.45
240,1.37,21.02,157.93
280,3.68,30.2,130.31
200,0.65,28.37,250.76
160,1.86,41.22,263.36
200,1.09,37.55,266.73
160,1.37,61.43,262.01
160,1.49,26.53,247.74
200,1.25,70.61,287.68
240,1.98,43.06,183.25
280,0.85,54.08,101.12
280,1.05,46.73,102.59
280,2.83,17.35,127.6
120,0.85,48.57,218.23
120,2.87,68.78,274.07
200,1.13,33.88,266.64
240,3.31,63.27,210.86
120,2.55,32.04,249.44
200,0.44,66.94,264.46
160,2.3,33.88,269.36
240,0.0,68.78,144.44
200,0.2,32.04,239.74
280,2.79,94.49,165.06
200,0.44,30.2,245.92
200,1.82,92.65,312.11
200,3.92,65.1,312.95
120,1.05,70.61,234.74
280,3.31,59.59,148.6
120,2.02,77.96,261.0
160,3.56,63.27,292.15
240,0.77,57.76,160.53
240,2.75,68.78,211.73
200,0.44,90.82,276.17
240,1.41,61.43,179.18
160,3.19,54.08,291.03
280,3.84,90.82,158.75
120,0.28,48.57,202.73
200,0.65,66.94,269.94
240,2.79,13.67,184.78
160,1.33,65.1,263.42
160,0.93,15.51,227.8
160,2.95,32.04,281.15
240,1.78,87.14,200.41
240,3.92,68.78,207.07
200,3.35,13.67,293.19
280,1.25,35.71,102.57
160,2.18,65.1,282.11
160,0.89,32.04,235.09
240,2.3,17.35,177.09
240,1.13,100.0,191.35
280,1.29,98.16,134.94
240,0.04,15.51,118.76
120,2.75,85.31,279.81
280,3.15,46.73,143.64
160,1.98,11.84,251.37
200,2.3,81.63,317.11
240,0.57,55.92,154.57
280,1.41,15.51,96.27
200,3.56,76.12,322.22
160,1.09,87.14,268.1
280,1.13,30.2,96.52
120,1.86,72.45,254.61
120,1.54,87.14,254.81
120,3.96,96.33,280.59
120,2.55,54.08,260.98
240,0.61,52.24,153.8
160,0.73,46.73,238.06
240,2.87,11.84,185.42
280,1.13,54.08,108.36
280,1.45,85.31,132.38
160,3.35,50.41,287.78
240,0.36,68.78,155.17
200,3.88,70.61,316.72
120,4.0,39.39,251.7
120,3.47,65.1,269.83
160,1.17,85.31,268.94
240,1.74,100.0,206.06
