Concentration,Temperature,Dose(mol%),Response
109.13,107.08,12,37.59
66.06,385.29,3,72.2
151.24,269.04,3,119.6
106.33,103.16,1,10.46
88.29,183.2,0,4.62
163.84,278.06,3,132.2
198.86,291.18,1,25.14
92.15,350.71,1,8.99
164.63,14.98,12,47.72
28.68,187.67,12,20.75
103.18,224.54,12,36.03
88.03,375.34,3,85.91
150.28,206.24,1,19.94
40.85,85.06,0,1.72
165.33,111.46,0,9.09
127.86,215.99,3,101.5
36.91,207.52,1,1.93
197.02,314.95,0,10.28
161.57,364.38,12,48.36
186.87,258.32,3,155.72
120.07,227.35,12,41.07
45.05,252.46,3,61.8
125.06,88.66,12,42.37
81.55,176.89,12,30.62
139.42,5.2,12,44.9
97.92,363.76,12,35.06
30.25,24.91,0,1.83
53.54,221.74,1,3.88
184.33,82.27,1,23.14
102.48,395.01,12,35.29
180.92,130.72,0,9.65
67.2,117.64,12,27.87
138.63,254.57,1,17.27
45.31,125.85,12,22.66
80.59,58.1,12,30.24
171.02,46.55,1,22.19
151.06,136.76,0,8.37
31.22,207.75,0,1.97
199.47,54.14,3,168.89
149.4,202.89,3,119.71
176.28,302.44,12,50.0
194.31,122.89,0,10.14
191.6,146.95,12,50.54
198.34,74.44,1,24.23
191.16,173.74,12,51.02
30.34,108.54,3,46.54
44.0,112.61,0,1.91
194.13,224.26,1,24.03
139.94,3.35,0,7.34
27.71,240.79,12,19.99
57.39,40.31,1,3.74
78.84,40.76,0,3.79
101.95,74.45,0,5.02
89.69,261.34,12,33.41
64.92,126.36,12,27.0
145.2,196.91,1,17.69
163.93,161.73,3,131.2
118.5,141.85,1,12.74
119.02,61.39,12,40.15
79.8,35.72,0,4.07
110.88,308.36,3,96.33
26.31,197.31,12,19.89
131.1,65.45,1,15.21
26.4,237.26,12,19.75
143.53,194.67,3,112.19
64.92,4.54,1,4.52
36.03,327.21,3,50.17
77.26,68.93,3,77.31
88.64,149.83,12,32.29
114.64,22.63,0,5.39
53.45,295.16,3,64.37
155.88,84.49,0,9.18
62.91,115.36,0,2.66
161.22,109.46,0,9.08
168.66,91.02,12,48.36
133.99,250.49,3,104.03
107.03,237.88,12,37.38
87.42,164.74,3,85.75
152.38,372.38,3,116.85
95.56,373.75,1,8.69
76.21,96.06,3,79.18
130.14,9.83,3,102.84
151.59,321.77,0,8.32
195.27,138.88,12,50.53
162.09,57.34,12,48.57
71.57,302.12,12,28.42
64.83,197.05,3,71.13
113.16,4.86,0,5.38
118.15,369.69,12,39.48
145.99,12.46,0,8.08
84.35,115.53,12,31.81
150.71,123.17,3,118.22
62.03,197.77,3,73.2
80.77,96.99,1,6.54
112.72,349.18,3,96.19
90.22,359.83,3,85.07
28.33,90.13,0,1.54
134.17,13.01,1,15.82
36.38,64.89,0,1.84
96.44,381.08,12,34.32
184.5,322.29,0,9.86
147.82,294.56,3,117.87
126.81,360.34,12,42.33
32.35,124.39,1,1.72
157.72,258.99,1,21.09
123.22,344.85,1,14.26
26.66,116.49,3,40.71
112.11,131.63,12,38.98
145.29,82.62,12,46.12
126.64,8.77,0,6.91
198.6,113.36,12,50.98
92.58,258.44,12,33.03
36.12,66.38,0,2.03
83.04,94.89,1,6.55
88.56,55.91,1,7.61
83.13,217.73,12,31.39
68.07,110.95,3,74.55
160.08,102.63,1,20.36
80.33,204.67,3,80.67
92.15,96.76,0,4.56
88.47,336.73,1,7.49
123.31,323.81,3,97.17
193.35,142.2,3,161.83
99.15,219.22,12,34.33
172.6,174.29,12,49.82
36.29,171.0,0,1.92
137.67,140.25,1,17.19
100.03,188.83,3,92.95
159.73,25.03,0,8.76
159.55,180.74,12,47.86
137.49,207.08,1,16.23
126.9,64.3,1,15.21
96.17,368.34,3,90.25
178.55,390.35,1,22.84
133.73,216.36,0,6.74
171.64,121.87,1,21.68
79.89,298.99,1,6.32
138.81,12.63,1,16.84
84.44,285.67,12,32.51
179.16,293.97,0,9.68
89.52,217.79,0,4.36
79.63,150.93,0,3.76
114.12,184.28,12,39.01
171.72,88.68,12,49.69
156.4,191.67,1,19.92
173.21,58.55,3,138.52
45.92,70.84,1,3.15
36.56,324.99,12,22.53
169.1,194.91,0,9.35
75.78,49.17,0,3.52
78.84,368.35,3,80.41
113.07,276.91,3,97.97
81.2,278.84,12,31.45
179.69,389.08,12,50.2
173.04,0.84,12,50.09
67.46,156.08,12,27.61
132.85,85.24,3,105.48
119.2,153.73,1,12.34
119.63,35.76,1,13.03
135.04,82.5,0,7.11
31.57,348.23,0,1.51
174.61,385.34,0,9.52
66.5,159.7,12,26.99
131.63,261.8,3,103.1
37.96,270.21,12,20.89
103.09,49.76,12,36.02
88.29,373.89,12,32.37
70.79,336.85,3,76.95
76.56,60.76,1,5.49
147.12,331.55,1,18.99
58.88,10.34,12,25.75
56.34,213.59,0,1.87
95.82,339.77,12,34.41
54.15,274.64,0,2.2
113.07,222.37,12,38.56
52.05,108.33,1,3.03
185.99,89.85,3,153.58
97.84,47.4,0,5.27
157.02,243.16,1,20.3
98.97,165.85,3,92.41
122.26,96.81,0,6.39
146.16,262.69,3,116.72
191.95,147.18,1,23.47
41.02,350.94,3,57.7
113.33,14.73,12,38.76
119.2,378.69,0,6.5
83.83,285.28,0,3.97
93.28,277.58,3,88.59
148.96,15.74,1,19.31
101.6,62.46,3,96.1
152.2,228.24,3,125.4
122.87,99.35,0,6.83
195.36,264.69,0,10.31
159.64,72.58,1,19.96
110.53,20.57,1,10.14
126.64,299.24,12,41.8
50.48,14.94,3,64.26
157.63,3.03,1,20.26
94.07,378.91,3,85.36
98.89,230.85,0,4.94
50.83,3.07,0,2.33
143.18,346.81,3,110.75
43.38,219.49,3,60.06
158.59,113.95,1,21.37
39.62,202.33,12,21.97
107.64,303.6,0,5.57
63.87,176.18,0,2.61
121.65,397.96,1,14.17
74.81,371.69,0,3.28
129.26,232.87,1,14.52
113.77,248.52,0,5.71
143.45,202.82,0,7.89
75.16,248.83,3,77.65
75.51,241.4,0,3.69
45.92,18.89,12,23.37
178.73,383.83,1,22.53
139.33,149.01,0,7.77
91.45,367.16,12,32.94
44.08,130.01,12,23.24
90.57,249.7,1,7.18
28.06,323.36,3,42.38
76.48,51.22,1,6.32
112.46,348.57,0,5.75
89.43,156.98,3,86.59
27.28,292.33,0,2.07
169.88,169.47,12,49.57
98.45,216.21,12,35.02
98.36,232.24,1,9.46
58.7,375.74,12,25.84
64.92,177.62,0,2.64
54.41,342.18,1,2.98
93.98,380.57,0,4.41
192.65,288.83,3,159.56
125.06,226.29,1,14.38
184.85,186.68,0,9.53
99.67,98.94,12,34.59
60.37,361.81,12,26.1
113.68,226.81,12,38.72
89.17,104.69,12,32.24
122.17,326.33,3,98.71
72.45,91.46,1,5.68
166.3,133.2,3,133.93
107.55,177.97,12,36.76
113.68,15.77,1,11.65
127.78,28.2,0,6.55
183.63,106.02,3,154.85
49.95,14.38,3,61.05
31.39,326.18,3,51.01
178.64,320.61,3,149.39
46.89,37.54,0,1.99
80.15,170.91,12,31.19
43.65,89.71,1,2.95
50.65,206.63,0,1.92
93.55,317.26,0,4.21
38.92,35.58,12,21.88
135.13,25.68,3,105.88
161.04,91.23,3,128.59
181.0,80.89,12,50.28
56.87,376.59,3,69.95
126.03,247.44,3,104.02
76.3,30.35,3,77.81
144.41,375.63,0,7.71
131.37,47.02,0,7.62
189.84,304.45,1,23.51
132.15,167.89,3,104.78
124.1,156.19,12,42.71
40.76,122.12,0,1.77
46.89,380.03,12,22.92
96.44,236.51,1,8.83
40.32,254.41,12,21.88
193.17,1.29,1,24.54
150.19,181.9,1,19.67
68.25,185.48,1,5.71
197.2,16.1,0,9.61
182.4,28.5,3,152.56
107.03,365.72,1,10.99
50.13,217.06,1,3.21
195.89,366.29,12,51.49
97.66,89.84,1,8.2
75.51,202.27,12,28.74
181.27,358.05,1,22.15
86.19,192.46,1,7.17
125.15,106.81,1,14.24
169.71,144.05,3,137.0
195.8,88.24,1,25.08
40.58,374.69,1,2.35
82.34,166.6,0,4.06
160.43,19.73,12,48.75
162.09,267.02,1,20.84
49.51,17.8,12,24.11
25.44,325.58,12,20.37
120.07,163.26,0,6.31
30.43,331.5,3,44.78
33.67,43.16,1,2.06
130.4,195.46,3,103.99
91.97,330.04,12,33.63
194.4,322.0,3,159.39
40.93,13.28,0,1.78
95.39,169.65,3,88.55
127.16,202.99,3,102.69
83.22,364.39,12,30.83
164.72,139.44,12,48.32
194.05,224.59,1,24.51
165.86,387.97,0,8.99
177.68,166.46,1,22.03
91.8,179.07,0,4.21
37.78,243.83,3,51.28
65.97,89.44,3,72.24
35.51,321.44,0,2.41
48.11,103.48,12,24.14
170.24,178.88,1,22.26
65.45,298.42,3,71.63
105.37,305.44,3,92.82
38.92,291.29,1,2.74
147.12,398.46,0,7.67
34.19,99.72,3,51.26
153.16,71.74,0,8.5
40.32,69.75,1,2.89
73.67,209.03,0,2.5
161.04,57.63,0,8.32
127.25,248.47,12,43.02
130.93,371.97,12,43.56
34.72,64.49,1,2.21
36.47,88.84,1,2.34
86.46,293.03,12,31.79
43.38,11.63,12,23.02
187.74,291.4,3,156.26
118.93,383.43,12,40.88
29.46,12.81,12,20.31
113.51,395.07,1,12.05
147.56,66.82,1,18.47
153.43,23.47,12,49.07
184.77,212.12,3,153.65
145.02,72.39,3,117.84
37.17,388.71,1,1.72
188.97,330.92,0,9.56
29.81,368.75,1,2.48
121.04,276.35,12,40.81
156.05,354.44,0,8.59
186.61,300.78,12,50.94
156.58,136.5,1,20.21
132.07,377.45,1,15.98
36.21,352.77,0,1.92
96.61,381.28,12,33.98
95.21,230.52,3,89.51
80.5,363.54,12,30.16
113.42,322.59,12,39.61
51.53,117.4,0,2.28
141.61,67.95,0,8.23
169.27,238.76,0,9.51
100.29,310.21,1,9.36
166.56,264.74,1,20.91
166.91,24.06,3,132.03
89.08,23.14,0,4.4
65.71,390.76,12,27.19
96.7,142.81,0,4.15
134.43,318.61,3,107.45
37.26,87.01,12,22.82
107.2,230.61,1,10.39
198.77,32.24,3,167.8
154.91,233.28,0,8.24
139.59,325.93,3,111.46
165.16,129.35,3,135.91
123.05,355.5,1,14.45
27.36,189.76,12,19.83
90.66,155.27,0,4.86
130.93,64.15,0,7.41
105.8,319.94,1,10.03
102.48,71.42,1,10.63
95.82,45.3,3,87.87
118.15,168.54,3,97.08
126.99,327.19,3,106.31
161.04,91.23,1,20.58
98.1,167.57,3,91.4
185.03,197.85,12,51.09
100.73,223.86,1,9.15
32.79,188.89,3,50.19
62.73,59.03,12,26.26
60.19,163.85,0,2.42
127.86,74.26,0,6.63
159.9,280.07,12,47.97
58.27,328.97,0,2.2
58.35,278.69,3,68.15
71.57,398.65,3,76.09
53.63,244.69,3,68.47
116.57,169.09,0,6.43
73.76,11.51,3,76.49
114.73,189.69,3,97.59
58.97,116.76,12,25.79
163.67,395.11,1,21.19
175.75,251.94,12,49.98
66.41,288.86,0,2.48
186.17,1.44,12,50.88
86.46,134.64,1,6.95
100.9,303.51,0,4.74
174.96,183.92,1,22.62
92.41,44.25,3,89.16
197.02,235.11,3,165.2
137.93,26.79,0,7.94
149.66,334.85,0,7.71
101.34,257.6,3,89.67
91.8,297.58,1,8.0
82.17,298.18,3,79.8
139.94,316.37,12,45.01
57.22,137.27,0,2.11
134.69,349.87,12,44.37
109.13,241.26,3,97.58
63.34,282.5,3,68.53
54.94,111.68,12,23.92
107.9,360.01,3,93.15
156.23,345.33,1,20.47
187.48,302.02,3,158.27
135.74,391.05,12,44.29
112.89,322.62,1,12.18
82.25,146.29,12,30.42
121.47,353.51,3,103.05
77.53,67.57,1,6.43
55.64,201.25,1,3.69
34.72,64.49,3,50.89
188.09,102.13,0,9.91
65.62,248.26,0,3.11
40.85,45.39,1,2.07
108.95,295.21,3,95.76
192.38,2.55,0,10.39
192.3,68.31,12,51.94
34.19,126.7,0,2.15
185.21,391.99,3,154.62
98.8,34.81,12,33.77
173.56,54.07,3,140.21
199.65,262.78,1,25.4
42.16,184.14,0,1.99
182.4,28.5,1,23.54
62.29,55.37,12,25.79
135.74,28.98,1,15.83
81.55,237.44,1,5.27
106.77,229.62,12,37.83
98.97,159.84,12,35.12
173.39,12.04,0,9.36
181.09,254.88,3,150.61
70.61,53.77,0,4.01
88.38,159.2,0,4.77
35.77,109.66,12,21.53
150.71,91.55,0,8.48
176.45,60.19,0,9.84
81.64,115.56,12,30.97
174.96,183.92,3,144.66
139.86,219.04,3,113.48
192.65,158.06,0,10.06
173.04,209.89,0,9.7
170.59,198.79,3,137.37
100.73,232.04,0,4.91
27.45,395.97,12,20.9
43.03,40.59,3,59.62
36.03,253.87,0,1.34
109.3,155.72,3,96.4
29.73,239.16,1,2.52
137.06,247.26,3,108.95
140.91,390.35,3,111.58
63.26,136.15,0,2.98
165.86,41.52,12,48.08
132.68,357.64,3,104.41
51.0,86.33,1,3.17
147.91,265.52,1,19.56
94.6,237.42,0,4.33
59.32,148.81,1,3.28
154.83,2.3,3,122.03
159.29,93.0,0,9.41
124.97,271.21,1,14.22
182.32,28.83,3,148.72
197.37,10.48,3,167.64
128.13,325.65,0,7.16
75.86,392.01,3,77.65
48.29,236.68,0,1.54
160.26,193.42,3,129.19
145.9,156.43,3,114.07
94.33,202.36,1,8.54
122.17,255.08,0,6.12
156.93,144.18,12,49.05
35.68,103.8,12,21.17
88.38,229.79,1,7.66
175.05,23.27,3,141.98
131.28,277.47,3,103.93
69.91,204.17,0,3.0
159.99,51.1,12,48.73
76.91,208.07,0,3.49
51.26,234.58,12,24.29
171.46,357.29,12,49.08
102.74,324.35,0,5.02
181.79,294.97,1,22.99
183.89,387.14,3,150.11
110.27,12.47,1,11.07
30.69,217.08,1,2.73
91.1,116.2,0,4.22
80.24,358.08,1,7.2
106.15,393.94,0,5.43
138.72,75.04,12,46.05
193.0,165.05,1,23.91
111.76,320.0,0,5.93
51.53,210.28,12,24.5
194.05,224.59,3,163.04
191.51,366.02,0,10.56
29.2,218.68,3,46.55
25.79,319.57,12,20.89
86.11,109.84,12,30.52
106.07,322.68,0,5.33
185.12,117.13,3,153.16
149.57,15.58,0,8.36
178.46,114.8,12,50.42
81.64,200.16,0,3.34
111.58,327.64,3,95.76
165.07,138.83,12,48.72
32.0,10.87,0,1.61
123.92,322.04,0,6.56
44.0,298.6,3,59.0
31.22,79.49,1,2.84
120.25,233.17,0,5.75
96.7,134.08,3,92.28
195.54,65.21,0,10.06
65.45,298.42,1,4.28
193.87,25.94,3,165.79
162.44,234.64,1,21.24
157.37,382.21,1,19.94
72.19,307.57,0,3.22
45.14,297.28,0,1.76
53.8,99.09,3,68.23
61.42,117.28,3,74.04
197.9,376.27,1,24.48
49.77,217.81,12,24.28
99.94,14.62,3,90.3
105.54,130.12,0,5.11
42.07,178.45,12,21.62
41.46,211.86,1,2.1
122.17,326.33,1,13.63
113.77,282.23,3,99.88
107.73,41.01,0,5.13
83.04,271.13,0,3.56
129.88,41.03,0,6.88
106.94,312.25,0,5.24
71.4,325.16,1,5.62
141.26,263.48,3,109.29
196.32,168.5,1,26.07
176.45,122.5,1,22.24
120.25,378.6,12,40.72
26.23,124.53,12,19.6
119.55,340.48,12,40.38
83.57,126.25,0,4.07
145.2,196.91,3,111.32
174.79,24.54,1,22.12
46.27,367.15,12,24.1
104.58,173.01,12,36.07
26.05,233.16,12,19.89
138.37,26.63,0,7.22
30.17,218.17,0,1.63
48.81,346.83,3,66.23
39.53,128.31,1,2.85
76.13,234.35,0,3.76
85.76,385.4,0,4.12
92.76,218.63,0,4.32
73.85,375.13,12,28.69
47.67,251.5,12,23.26
54.33,16.29,3,66.96
115.78,289.91,3,94.12
67.46,360.46,3,71.23
135.22,358.27,0,7.77
181.44,181.92,12,50.69
194.13,375.74,12,51.28
81.82,320.3,12,30.9
71.66,222.17,1,4.72
74.46,235.97,1,5.44
140.21,210.56,3,108.82
177.5,307.72,1,22.51
194.83,302.91,0,10.25
184.42,150.77,12,49.93
89.43,216.04,12,32.06
154.04,113.26,12,47.16
186.78,285.9,0,9.89
86.37,20.73,3,86.46
186.78,354.77,1,23.96
100.64,174.65,0,5.11
106.24,253.39,1,11.26
38.74,139.18,0,1.67
131.63,261.8,1,15.26
75.08,60.41,12,29.04
125.68,283.35,3,98.5
147.04,134.8,1,18.7
83.57,114.04,3,84.98
186.17,13.06,0,9.71
36.12,344.29,1,2.01
165.77,93.48,3,134.42
41.9,126.51,12,22.54
52.4,27.23,12,23.8
36.56,47.95,1,1.78
142.13,28.88,3,111.56
116.48,347.43,12,39.69
143.88,328.73,0,8.03
61.86,315.85,1,5.11
180.57,226.64,0,9.37
92.76,60.02,12,33.23
99.32,238.15,3,90.56
199.56,300.55,1,25.03
193.87,25.94,1,25.22
129.44,130.7,0,6.77
160.17,385.17,3,126.96
103.0,342.28,1,10.07
165.16,228.35,0,8.87
190.11,102.09,12,50.91
85.23,307.8,1,7.49
195.97,54.18,0,10.33
116.13,316.29,3,96.24
142.31,103.07,1,17.98
113.68,15.77,3,95.0
195.36,52.9,12,50.86
72.19,51.66,3,75.38
155.09,158.47,1,19.34
181.27,358.05,3,146.35
61.77,64.01,0,2.97
37.34,100.71,3,55.97
90.13,248.97,0,3.54
103.26,267.23,1,10.56
85.41,212.38,0,3.69
63.78,333.46,0,2.96
132.59,163.73,3,109.89
28.5,340.25,0,1.34
157.1,24.96,0,8.51
183.89,206.78,12,50.42
102.04,352.55,12,35.71
153.51,147.68,12,47.9
91.01,366.99,0,4.33
143.8,168.69,3,114.32
46.8,341.2,1,2.96
114.56,246.65,12,39.35
82.78,45.24,12,29.9
157.72,258.99,3,128.74
146.42,52.35,1,19.54
70.7,387.97,3,74.44
119.28,271.86,3,97.31
75.95,201.23,0,3.4
33.93,63.18,0,1.39
194.48,139.19,12,50.42
41.9,253.24,3,55.05
158.94,124.52,3,127.22
178.38,4.85,1,22.24
63.34,282.5,1,3.54
89.78,185.07,3,82.6
90.05,201.09,1,7.82
139.86,137.72,12,45.5
41.46,26.72,12,22.35
114.91,37.05,12,39.11
32.27,353.32,12,20.76
168.31,127.53,12,48.71
37.08,145.45,1,2.74
34.98,253.36,1,2.14
63.08,280.39,1,4.4
146.69,94.42,3,116.53
108.17,240.21,3,94.13
189.84,304.45,3,156.66
177.06,188.01,12,49.85
143.27,231.47,3,109.55
161.66,175.16,12,48.11
138.72,282.59,1,17.31
164.46,224.56,12,49.23
198.25,336.77,1,24.91
50.65,325.72,12,24.2
123.84,103.9,3,100.29
66.23,385.61,0,3.59
110.88,93.99,0,6.07
129.7,389.4,3,103.35
98.54,5.24,3,91.08
84.18,147.11,0,4.02
133.03,260.67,3,104.17
57.92,253.41,12,25.99
46.36,313.66,12,23.45
84.53,107.04,0,4.14
153.95,53.5,12,47.94
25.26,239.46,1,2.57
154.39,137.89,12,48.04
48.64,323.74,3,66.63
130.84,244.22,0,7.19
48.02,216.78,12,24.02
60.98,380.02,3,68.46
86.46,134.64,3,83.01
156.93,213.44,3,126.84
99.32,319.37,12,34.97
151.33,177.5,1,18.99
189.14,216.89,1,24.43
73.24,44.4,0,2.7
150.45,266.75,1,19.26
157.98,163.5,12,48.28
92.85,173.41,12,32.93
105.1,163.1,12,36.61
78.93,144.09,0,3.38
165.6,27.05,3,133.84
31.39,351.13,0,1.66
164.11,78.57,0,8.91
180.48,32.5,12,49.98
131.45,66.11,0,6.59
46.27,398.18,0,1.53
141.17,315.88,1,17.59
48.02,177.35,0,1.74
117.8,349.47,3,99.24
194.83,23.42,3,163.45
176.28,325.59,3,145.01
61.59,12.38,0,2.77
131.28,91.84,0,7.3
45.4,340.91,0,2.24
82.69,262.94,0,3.99
172.42,53.01,1,21.33
177.59,22.24,0,9.68
101.69,286.39,1,9.29
108.08,373.17,0,5.01
144.93,388.56,3,114.01
29.99,78.39,1,1.86
122.44,214.79,3,100.17
66.85,49.93,0,2.51
54.59,5.3,12,24.49
119.02,395.09,3,100.08
54.24,45.8,0,2.58
167.78,139.03,3,134.09
190.46,99.28,12,49.65
169.01,61.8,0,8.93
159.12,130.5,0,8.74
91.36,283.09,0,4.04
50.39,12.2,1,2.84
82.17,20.94,0,4.1
25.7,240.45,3,41.71
79.01,110.75,3,81.7
53.1,285.61,0,2.5
61.16,229.38,1,4.79
66.67,29.52,3,74.82
159.73,66.86,12,48.97
48.99,204.54,1,2.36
111.58,170.67,12,38.54
35.59,202.08,0,1.92
109.13,241.26,1,11.73
174.44,86.42,1,23.09
146.51,15.59,0,8.31
50.91,87.63,0,2.3
128.56,372.81,1,14.26
173.12,319.52,12,49.22
27.01,146.54,1,1.18
82.43,328.87,0,3.48
86.28,208.52,0,4.17
144.67,103.36,12,47.33
88.29,296.45,1,7.93
59.75,171.6,3,72.78
115.17,183.79,12,39.99
76.3,278.61,12,29.58
173.56,267.15,0,9.57
102.91,132.88,0,5.19
116.92,82.13,0,5.69
27.63,243.02,3,43.21
50.3,236.33,3,63.91
162.71,227.96,12,48.84
102.21,82.83,0,4.92
189.67,349.33,1,24.59
126.38,348.74,1,15.08
43.82,121.9,0,2.0
179.25,221.82,12,49.99
184.94,387.4,1,23.98
91.97,227.96,3,86.1
175.23,135.99,0,10.51
178.11,54.84,1,23.04
45.75,9.73,3,61.46
54.76,196.65,3,65.83
171.02,46.55,3,140.7
109.22,98.14,1,11.18
66.76,221.54,3,74.34
130.05,303.31,1,15.41
147.39,246.86,1,19.56
193.0,165.05,3,160.05
28.5,48.82,3,46.7
179.34,115.18,0,9.94
56.34,53.39,12,25.56
133.38,387.28,3,107.17
57.57,37.78,1,4.47
127.95,311.94,1,14.07
42.51,390.72,0,2.42
180.65,101.87,3,147.79
83.3,98.38,1,6.74
100.73,223.86,3,91.46
53.89,142.39,3,67.0
52.49,397.13,0,2.44
35.07,60.84,0,1.52
130.67,178.36,3,102.75
171.55,316.01,3,142.78
105.54,347.39,3,95.92
30.52,142.7,3,44.68
192.21,122.24,1,24.92
103.7,138.47,12,35.38
174.26,42.27,3,141.78
89.43,396.53,0,4.15
59.84,300.35,1,3.95
107.29,109.62,1,10.05
126.29,9.38,12,42.21
34.98,257.83,12,21.88
31.57,291.6,3,49.68
37.08,175.9,12,21.5
157.45,7.29,1,19.37
70.26,324.22,1,4.68
59.58,241.32,12,25.31
144.76,71.87,3,113.34
136.88,57.0,3,108.94
166.38,194.09,12,48.94
83.39,356.29,12,30.63
56.25,191.8,12,25.53
168.13,168.37,12,48.56
155.53,149.3,3,128.64
33.58,10.17,1,2.18
82.52,145.23,1,6.74
155.44,95.02,1,19.81
160.61,253.26,1,21.26
185.12,117.13,1,23.3
39.18,253.41,3,57.36
80.85,107.7,1,5.87
53.54,328.48,0,1.96
104.49,121.68,0,5.12
147.47,60.56,12,46.04
135.48,124.14,3,108.62
86.02,232.5,1,6.62
114.91,337.82,1,12.3
55.73,349.74,12,24.49
47.24,67.8,3,59.42
69.3,343.61,12,27.71
70.17,7.65,0,3.12
117.88,36.83,0,6.07
179.43,60.02,1,22.56
152.46,377.74,12,47.74
74.2,54.55,1,6.05
144.41,293.25,3,116.37
33.14,170.97,12,22.35
114.56,388.42,1,13.24
160.17,353.73,12,48.34
84.0,356.09,0,3.6
164.19,2.93,12,49.04
193.52,162.84,12,50.5
166.12,103.42,12,48.18
165.51,256.38,12,48.68
149.22,373.55,3,118.46
59.05,322.73,1,3.63
192.91,156.61,3,160.57
98.19,365.94,1,9.72
106.42,55.74,3,92.94
147.21,330.17,0,8.25
32.7,328.84,0,1.49
110.36,104.91,1,10.37
154.13,384.85,12,46.92
161.13,84.82,3,129.87
138.72,282.59,3,110.52
117.97,54.51,12,39.61
25.53,179.9,0,1.51
57.92,337.95,3,70.86
71.75,90.85,12,27.67
108.52,368.4,0,5.24
28.76,363.73,3,44.86
162.01,23.02,12,47.99
164.37,51.36,1,21.27
48.55,300.07,12,22.98
28.06,352.51,12,20.44
97.57,180.89,1,8.72
172.77,273.7,12,50.41
88.73,98.64,0,3.98
37.34,100.71,1,3.0
91.27,213.38,1,8.07
163.06,228.01,12,48.24
82.25,172.66,1,8.0
80.33,1.75,0,3.74
114.56,132.98,0,6.29
96.79,52.11,12,33.63
167.61,180.15,3,137.31
41.2,306.87,12,21.69
44.35,227.32,3,56.06
141.96,13.75,12,46.2
42.86,295.96,0,1.6
196.59,229.58,0,9.95
92.41,345.39,12,32.58
115.17,14.8,1,12.17
138.89,127.98,12,44.05
31.57,291.6,1,2.5
134.08,52.5,3,106.61
47.32,222.72,3,61.57
147.65,203.67,12,46.68
32.97,285.3,3,51.27
45.92,70.84,3,62.95
139.07,216.52,3,108.62
81.47,356.21,1,6.47
119.9,377.89,3,99.13
32.88,47.84,3,49.44
126.38,329.9,0,7.15
198.6,193.19,3,168.32
88.12,313.28,0,4.01
164.11,67.74,12,48.61
94.68,372.85,1,8.44
142.83,108.38,0,7.74
134.95,11.33,12,44.54
181.35,254.67,1,22.73
161.13,92.02,12,49.15
139.16,283.62,3,111.27
183.8,101.14,0,9.47
39.18,140.95,0,1.93
49.69,14.43,12,23.46
75.43,291.06,12,28.51
137.58,398.1,12,44.22
173.91,173.0,3,142.89
99.41,296.3,12,34.49
191.86,205.64,0,10.47
116.92,349.88,1,12.34
133.99,68.68,0,7.49
184.68,348.12,12,49.58
71.75,295.15,0,3.06
73.15,208.07,1,5.54
103.0,67.98,12,37.4
156.32,123.59,12,47.7
31.83,134.95,12,21.14
143.8,168.69,1,18.41
45.84,31.59,0,1.87
107.03,233.51,0,5.36
186.17,172.83,1,22.47
193.43,317.68,3,165.58
125.76,334.81,1,13.38
176.54,318.99,12,50.47
95.56,316.37,12,33.67
93.46,100.72,1,8.47
126.46,116.95,0,6.85
37.96,197.68,0,1.72
111.32,144.52,12,37.57
90.66,46.76,1,7.43
165.16,157.03,12,48.67
198.69,326.92,0,10.27
29.03,27.07,0,1.56
96.61,21.9,1,8.77
135.39,203.12,0,7.36
190.55,212.52,0,10.21
150.89,80.74,3,119.87
68.33,156.93,12,27.32
157.19,325.19,3,122.91
45.22,19.26,0,2.2
127.25,2.55,1,15.07
71.4,270.73,0,3.3
81.47,144.02,0,3.51
138.81,12.63,3,108.6
184.59,131.27,0,9.93
62.47,125.59,0,3.03
186.69,224.88,0,9.8
48.29,278.81,1,3.64
149.05,48.84,3,117.85
184.94,192.85,0,10.03
55.99,28.23,1,3.56
125.85,282.18,0,5.84
61.42,117.28,1,4.95
149.66,394.65,1,18.91
136.27,3.99,0,7.15
66.67,29.52,1,5.06
79.63,332.2,12,29.44
41.81,268.29,0,2.46
115.7,135.95,1,11.79
72.97,24.33,12,29.0
198.16,349.09,3,164.62
123.14,141.61,12,41.81
154.04,130.81,3,120.47
158.68,303.72,0,9.37
91.8,297.58,3,87.21
121.47,353.51,1,14.62
55.2,246.34,1,3.6
193.0,322.17,0,10.08
82.95,101.31,12,30.73
161.57,141.37,1,20.74
136.53,305.11,12,44.95
25.35,192.22,12,19.36
174.35,256.33,1,22.47
198.86,38.14,0,10.37
90.83,251.08,3,84.91
187.13,344.55,1,22.91
167.35,27.3,12,48.03
93.02,288.9,1,8.1
101.16,357.64,0,4.84
145.29,325.98,0,7.47
185.56,5.84,12,49.62
182.23,212.92,0,9.75
97.05,159.27,3,89.62
38.66,329.65,12,21.86
54.33,153.54,0,2.49
148.09,337.67,1,18.39
177.24,223.42,12,50.22
174.7,213.35,12,49.32
95.56,373.75,3,89.96
115.43,46.67,12,40.23
130.32,129.44,1,15.68
197.9,361.7,0,10.25
134.43,213.0,0,7.47
92.15,141.09,12,33.29
29.81,239.53,12,21.51
67.02,110.31,0,2.74
191.07,333.17,0,10.27
162.88,38.29,3,130.81
71.05,165.93,1,4.44
55.9,65.17,1,3.48
105.19,327.9,12,36.79
187.39,100.9,3,154.05
