concentration(ppm),temperature,Dose(mol%),response
30.63,248.6,5,4.0
19.52,127.15,3,4.59
28.79,201.15,1,3.76
41.18,317.27,1,5.44
15.18,73.59,1,2.05
5.1,131.0,0,0.49
38.53,26.85,5,5.23
36.19,165.4,0,6.65
23.77,313.56,5,3.41
15.42,174.7,3,3.83
10.27,343.67,3,3.98
23.39,326.27,3,5.37
48.88,290.38,5,5.58
10.04,25.38,1,1.47
42.16,392.0,3,7.45
43.94,277.65,3,7.72
16.78,61.69,5,2.32
41.88,333.15,3,7.28
27.07,361.77,5,3.94
10.56,276.3,3,4.03
47.75,220.0,3,8.68
27.51,189.14,1,3.81
9.68,368.2,0,0.79
0.83,98.3,0,0.03
9.5,175.0,0,0.97
35.39,335.7,0,6.52
15.36,75.28,1,1.95
10.15,105.82,3,3.91
44.42,140.7,0,7.64
25.7,100.21,3,5.55
35.97,318.59,3,6.76
43.36,52.49,3,7.19
36.93,154.73,5,4.69
48.19,312.24,3,9.06
18.56,156.59,5,2.69
22.04,160.1,0,2.8
34.89,258.37,1,4.42
23.68,394.94,3,5.62
21.61,42.0,0,2.69
49.87,364.11,3,9.76
22.82,79.4,3,4.86
48.53,26.07,3,8.67
0.63,262.8,0,0.18
8.85,257.9,0,0.9
32.43,235.29,1,4.36
35.23,261.56,1,4.53
14.28,292.07,5,2.45
39.01,297.01,1,4.93
13.88,152.14,5,2.32
19.8,115.45,3,4.62
35.42,105.5,0,6.48
29.21,263.72,3,6.47
45.42,197.29,5,5.48
41.66,247.93,5,5.39
48.35,152.99,3,8.59
25.06,33.2,0,3.95
22.22,294.86,3,5.11
33.07,280.05,5,4.41
22.59,119.66,5,3.08
27.64,395.5,0,4.88
42.52,283.75,5,5.65
22.77,125.97,5,2.87
46.97,199.77,3,8.31
31.66,100.62,3,6.28
24.99,259.09,5,3.3
20.95,168.75,3,4.85
28.23,262.19,3,6.33
18.21,98.6,0,1.8
47.32,376.52,5,5.53
28.51,170.22,3,6.06
21.34,199.52,3,4.92
23.34,32.11,3,5.09
15.54,268.74,5,2.47
15.66,60.24,5,2.18
28.26,227.7,0,5.39
31.83,88.96,3,6.46
32.23,164.12,3,6.63
40.15,150.1,0,7.04
4.73,203.1,0,0.59
19.0,316.43,5,2.79
27.97,379.84,3,6.42
22.71,192.78,5,2.9
6.15,334.0,0,0.7
12.74,288.63,5,2.35
44.98,310.11,5,5.61
20.45,388.72,5,2.93
45.0,141.5,0,7.46
22.81,32.53,5,2.87
6.2,221.9,0,0.47
24.41,160.07,1,3.19
29.89,160.37,5,3.86
19.38,54.33,3,4.36
12.42,47.7,1,1.58
25.91,352.05,5,3.77
7.68,350.7,0,0.73
17.23,327.3,0,1.76
42.12,222.7,3,7.42
42.4,298.99,5,5.67
27.7,77.46,3,6.02
43.32,344.28,5,5.61
25.79,173.01,1,3.2
32.23,233.42,1,4.24
18.44,104.16,1,2.3
30.27,39.79,5,3.81
31.99,231.17,1,4.23
48.15,313.0,0,7.82
36.42,373.7,0,6.63
33.29,85.28,5,4.46
23.15,344.47,3,5.42
25.27,303.98,5,3.51
24.21,261.9,0,3.66
36.09,290.9,5,5.03
31.83,268.62,5,4.35
26.64,105.7,0,4.55
35.47,263.81,1,4.52
12.53,172.6,0,1.24
32.11,232.29,1,4.11
43.0,348.25,3,7.37
15.08,72.65,1,1.81
39.41,300.76,1,5.06
22.24,281.7,0,3.06
25.98,286.21,3,5.79
29.94,341.8,0,6.07
30.25,75.61,3,6.28
32.15,309.34,5,4.34
19.86,117.48,1,2.4
46.58,367.92,1,6.63
33.99,276.55,3,6.68
23.52,211.82,3,5.42
11.71,212.51,3,3.8
28.19,397.66,3,6.47
20.63,399.89,5,2.86
37.17,376.1,0,6.66
21.88,176.42,3,4.83
47.25,381.5,3,8.5
34.09,208.24,5,4.61
19.42,113.36,1,2.21
35.49,310.7,0,6.41
25.47,170.01,1,3.42
40.88,314.46,1,5.17
36.21,270.75,1,4.62
23.49,293.9,0,3.2
18.58,105.48,1,2.17
35.87,283.55,5,5.02
6.63,185.8,0,0.53
41.74,322.52,1,5.45
43.1,335.28,1,5.81
34.91,259.83,5,4.66
26.11,187.06,3,5.77
22.11,341.2,0,2.67
39.97,167.42,5,5.49
27.04,326.8,0,4.94
35.49,205.19,5,4.92
24.03,44.43,5,3.18
26.53,178.71,3,5.8
40.53,336.47,3,7.34
46.55,398.34,3,8.25
13.67,82.12,3,3.67
40.05,67.2,0,7.09
23.8,227.21,3,5.5
26.39,367.55,3,5.95
47.02,372.05,1,6.69
23.44,308.3,3,5.34
29.37,237.4,5,3.98
13.88,61.39,1,1.84
21.11,76.1,0,2.32
43.77,284.52,3,7.45
32.74,104.5,0,6.29
24.11,147.16,3,5.44
35.57,264.74,1,4.58
15.46,367.47,5,2.64
13.75,362.67,3,3.85
23.91,238.61,3,5.23
27.55,185.31,3,6.11
43.42,338.28,1,5.83
22.91,87.77,3,5.07
41.76,354.64,3,7.18
26.03,82.2,5,3.32
35.86,166.05,3,6.7
15.4,328.51,5,2.73
26.99,366.14,3,6.04
18.26,55.92,3,4.17
23.97,82.89,5,3.2
33.23,279.41,3,6.64
28.54,388.7,3,6.26
29.23,251.18,5,4.11
29.19,204.9,1,3.92
31.06,285.43,3,6.5
32.07,79.47,3,6.47
14.61,137.7,0,1.31
41.37,239.23,3,7.2
39.5,260.26,3,6.96
32.65,237.36,1,4.43
49.46,127.4,5,5.5
31.37,225.35,1,4.09
4.85,241.5,0,0.44
5.2,355.5,0,0.52
27.43,147.19,3,6.16
32.31,234.17,1,4.27
17.67,327.81,3,4.24
41.48,293.4,3,7.05
43.46,338.66,1,5.83
26.37,178.45,1,3.46
23.03,226.41,5,3.26
17.5,144.62,5,2.43
27.07,299.37,3,6.03
37.85,88.66,5,5.2
49.35,193.1,0,7.92
31.73,255.03,5,4.43
28.27,196.27,1,3.9
24.81,163.82,1,3.04
36.58,97.59,3,6.62
45.2,185.87,3,7.75
13.59,335.88,3,3.78
18.39,112.99,3,4.31
27.35,93.22,5,3.59
2.43,117.7,0,0.42
12.06,389.2,0,1.39
38.93,296.26,1,4.84
37.55,218.06,5,5.2
35.32,42.7,0,6.35
25.99,340.4,0,4.25
45.06,29.55,5,5.22
21.19,129.86,1,2.64
21.69,134.55,1,2.77
37.29,79.74,3,6.79
34.32,245.1,0,6.27
23.51,393.39,5,3.32
38.18,216.22,3,6.8
10.36,365.54,3,4.19
37.21,260.81,3,6.9
23.61,325.0,0,3.32
49.19,260.22,3,9.23
5.8,346.1,0,0.58
48.75,236.2,0,7.77
20.76,84.4,0,2.47
11.72,396.49,3,4.03
15.3,302.79,5,2.43
32.41,235.11,1,4.35
40.38,80.69,3,6.92
40.4,209.7,0,7.1
10.17,221.77,3,3.9
35.89,325.22,5,5.0
37.32,73.4,0,6.89
33.65,262.23,5,4.7
30.34,269.83,3,6.32
41.54,306.18,3,7.1
41.62,309.0,0,7.21
1.7,224.1,0,0.35
25.54,381.2,0,4.2
41.21,231.54,3,7.25
14.99,86.43,3,3.89
12.86,137.83,5,2.24
39.87,305.08,1,5.01
17.0,121.36,3,3.98
22.52,59.5,3,4.98
9.63,155.2,0,1.0
24.69,162.69,1,3.31
39.74,203.0,0,6.95
48.24,383.49,1,7.28
38.64,284.69,3,6.82
15.18,126.5,0,1.68
24.59,86.37,5,3.11
41.1,110.53,5,5.31
49.45,116.71,3,9.08
33.61,246.36,1,4.38
15.98,356.2,0,1.72
17.06,154.16,3,4.16
18.26,291.1,0,1.95
22.79,166.48,5,2.92
43.72,143.3,0,7.57
26.93,97.36,3,5.85
32.44,97.4,0,6.13
28.59,56.44,3,5.91
46.67,288.5,0,7.72
25.64,129.3,0,4.27
35.17,76.1,0,6.36
33.97,320.63,3,6.92
49.73,85.02,3,9.43
29.22,191.43,3,6.14
19.28,385.81,5,2.88
45.01,105.85,3,7.68
20.69,176.5,0,2.23
22.95,146.37,1,2.94
40.42,47.6,5,5.38
26.98,233.36,3,6.16
30.35,237.98,5,4.07
43.0,113.6,0,7.32
32.83,336.59,3,6.69
45.56,189.1,5,5.46
22.74,38.11,3,4.88
43.84,342.22,1,5.91
15.18,61.44,5,2.36
26.23,339.59,5,3.64
38.71,36.24,5,5.09
42.14,50.35,5,5.29
33.47,122.43,5,4.42
15.38,288.7,3,3.84
37.62,247.56,3,7.05
45.28,208.09,5,5.32
36.37,355.64,3,6.95
12.11,363.15,3,3.77
27.21,186.33,1,3.6
10.42,77.31,5,1.99
22.61,262.1,0,2.94
19.34,112.61,1,2.5
22.03,224.82,3,4.96
14.69,118.14,3,3.74
16.84,89.16,1,2.18
31.89,230.23,1,4.26
35.05,259.87,1,4.31
38.92,118.7,0,6.79
28.66,377.8,0,5.39
20.06,199.23,3,4.49
26.99,184.27,1,3.5
49.63,349.57,3,9.45
24.43,158.34,3,5.49
48.95,333.22,3,9.2
14.15,386.93,3,3.88
41.52,263.9,0,7.09
18.82,188.6,3,4.33
36.53,37.84,3,6.44
17.03,139.3,0,1.87
14.08,156.83,3,3.58
41.14,387.76,3,7.31
45.17,72.0,0,7.66
41.42,58.74,3,6.99
17.96,115.3,0,1.84
20.51,243.7,0,2.28
35.7,223.08,3,6.85
37.89,151.38,5,5.04
11.08,316.0,0,1.3
19.99,200.89,3,4.71
16.36,223.9,0,1.76
12.58,216.53,5,2.25
26.89,356.06,3,6.18
13.4,279.09,5,2.33
18.72,52.29,5,2.64
49.43,312.22,3,9.48
15.28,210.2,0,1.65
38.46,238.4,3,6.76
11.64,40.38,1,1.73
28.14,102.4,0,5.41
49.65,69.6,0,7.83
48.02,398.8,0,7.69
16.86,210.66,3,3.97
21.92,324.61,3,5.21
15.46,299.88,3,4.18
16.2,189.61,5,2.46
49.62,94.79,5,5.3
11.93,189.2,0,1.09
21.99,75.57,3,4.73
12.76,43.94,3,3.79
29.13,219.59,5,3.97
16.11,103.93,3,4.02
37.4,269.23,3,6.92
42.41,395.44,3,7.54
13.33,180.47,3,3.88
35.33,172.19,5,4.73
19.06,109.98,1,2.45
24.76,318.52,3,5.76
28.73,31.9,5,3.57
29.91,211.66,1,3.96
32.85,308.78,3,6.62
23.19,293.9,0,3.17
27.43,126.53,5,3.53
19.54,133.55,3,4.4
17.36,379.17,3,4.16
29.19,194.35,3,6.26
40.28,398.25,3,7.26
4.0,189.8,0,0.49
48.68,387.62,1,7.16
37.42,318.9,3,6.87
35.68,53.77,3,6.8
18.46,274.55,3,4.56
31.97,230.98,1,4.29
14.21,317.89,3,3.76
36.73,99.83,5,4.79
44.2,268.83,5,5.44
18.8,107.54,1,2.41
15.7,358.09,3,4.15
15.48,216.75,5,2.37
11.4,345.07,3,4.04
1.43,208.7,0,0.16
31.37,306.5,0,6.12
38.93,342.72,3,6.86
32.79,96.57,3,6.62
11.19,209.85,3,3.78
10.6,252.83,5,2.16
39.89,44.63,3,7.0
4.75,232.9,0,0.39
16.28,338.49,5,2.79
35.51,264.18,1,4.57
44.98,352.91,1,6.26
36.0,277.4,3,6.7
26.51,204.1,0,4.48
47.2,298.18,5,5.63
47.99,272.73,3,8.78
37.69,284.63,1,4.84
10.01,148.9,3,3.98
33.11,241.67,1,4.41
33.84,126.0,0,6.36
31.27,224.41,1,3.95
22.47,31.32,3,4.72
19.51,173.67,3,4.51
46.28,234.72,3,8.2
49.14,265.96,5,5.37
14.42,66.46,1,1.7
19.92,243.87,5,2.66
17.88,153.84,3,4.21
46.58,324.52,5,5.62
17.04,272.01,5,2.71
49.16,208.2,3,9.05
40.3,98.42,5,5.3
42.65,35.05,3,7.0
31.02,360.95,3,6.8
27.37,348.17,5,3.91
33.19,35.97,5,4.25
12.84,51.16,3,3.53
20.38,273.52,3,4.56
20.55,123.86,1,2.59
12.81,73.7,0,1.22
23.41,90.02,5,3.17
37.25,160.23,3,6.75
45.22,195.39,5,5.63
41.04,250.6,5,5.47
18.72,106.79,1,2.52
33.41,244.48,1,4.42
30.9,343.14,3,6.44
12.2,237.24,3,3.62
42.97,386.9,0,7.5
14.56,390.8,0,1.54
19.84,129.02,5,2.64
45.32,146.75,5,5.33
19.1,110.36,1,2.32
36.85,69.47,3,6.82
13.64,232.94,3,3.72
21.91,231.8,0,2.69
29.59,313.2,0,5.88
26.05,241.11,5,3.56
20.11,232.6,0,2.16
13.98,62.33,1,1.72
15.26,235.77,3,3.93
17.78,268.81,3,4.09
48.38,171.82,5,5.46
49.74,297.98,5,5.7
11.55,228.95,3,3.83
43.22,336.41,1,5.94
30.65,111.25,5,4.06
47.72,378.61,1,6.96
49.1,399.38,5,5.68
48.76,334.39,5,5.71
28.27,178.53,5,3.93
16.94,80.33,3,3.95
33.51,71.17,3,6.7
35.01,273.45,3,6.96
17.42,94.6,1,2.27
24.54,64.2,0,3.93
9.0,221.5,0,1.06
42.3,327.78,1,5.56
40.05,142.24,3,6.89
47.88,380.12,1,6.96
6.0,217.0,0,0.54
17.02,333.13,3,4.04
16.44,272.57,5,2.51
49.29,25.14,3,8.94
37.24,301.2,0,6.89
22.89,180.2,0,3.13
23.43,150.88,1,2.81
19.23,204.82,3,4.35
31.51,226.66,1,4.1
22.79,388.96,3,5.25
36.52,366.0,0,6.76
39.63,70.08,5,5.19
37.17,279.75,1,4.57
32.95,240.17,1,4.15
16.23,165.2,0,1.45
26.43,179.01,1,3.61
24.0,69.08,3,5.27
17.87,370.41,3,4.39
16.92,112.88,3,4.16
9.9,147.5,0,0.94
17.31,277.1,0,1.6
25.85,173.57,1,3.4
31.09,399.23,5,4.34
41.8,323.09,1,5.46
13.9,61.58,1,1.87
31.43,245.24,3,6.54
15.66,277.3,0,1.39
45.62,39.41,5,5.16
43.04,334.72,1,5.79
49.96,50.86,5,5.27
34.13,351.46,3,6.92
20.55,219.17,3,4.58
20.56,60.17,3,4.5
30.75,296.79,5,4.09
34.74,190.89,3,6.8
36.41,243.1,3,6.75
6.23,200.5,0,0.68
15.36,315.5,0,1.57
22.44,112.04,3,5.1
24.49,255.3,0,3.94
50.0,130.82,5,5.37
22.85,145.44,1,2.9
20.45,122.92,1,2.5
31.77,229.1,1,4.15
32.43,285.69,3,6.75
29.89,213.3,0,5.81
26.06,196.5,0,4.49
38.89,350.55,5,5.48
39.25,299.26,1,4.9
28.31,97.9,0,5.22
23.18,276.78,3,5.25
20.95,276.84,5,2.91
35.29,29.36,5,4.59
11.73,88.0,0,1.02
48.63,279.35,3,9.13
19.86,312.7,0,2.1
23.49,151.44,1,2.88
34.01,309.35,5,4.72
2.73,274.5,0,0.14
4.28,135.5,0,0.61
11.7,40.95,1,1.54
26.45,179.2,1,3.7
5.43,52.3,0,0.53
27.89,275.53,5,3.97
43.16,139.57,5,5.52
24.64,346.64,3,5.48
32.43,383.37,5,4.69
47.93,43.89,3,8.46
21.82,261.9,3,5.02
8.95,117.5,0,1.03
42.96,334.78,5,5.7
41.14,316.9,1,5.38
32.25,233.6,1,4.31
16.87,279.72,3,4.32
9.3,227.9,0,1.11
46.25,354.8,0,7.51
29.38,67.12,3,6.15
14.23,75.3,0,1.57
15.63,41.5,0,1.37
27.69,324.97,5,3.93
42.05,312.1,0,7.32
43.42,96.45,3,7.2
49.93,399.67,3,9.66
25.39,146.1,0,4.0
34.77,257.24,1,4.53
44.84,300.11,5,5.57
48.12,100.93,5,5.44
22.08,279.56,3,4.96
10.37,290.26,3,3.74
35.93,87.81,5,4.82
43.44,343.39,3,7.46
42.38,322.3,3,7.26
11.18,36.07,1,1.63
17.24,92.91,1,2.19
20.16,290.8,3,4.66
19.08,274.2,0,1.81
45.7,56.6,0,7.52
13.79,73.98,3,3.67
19.15,104.18,3,4.29
45.4,320.1,0,7.71
41.38,78.54,3,7.16
37.39,281.82,1,4.65
49.54,122.24,5,5.54
39.64,259.6,0,7.11
10.28,50.75,3,3.63
46.71,304.9,3,8.35
21.8,207.32,3,4.92
37.61,86.32,5,5.03
22.23,347.62,3,5.02
23.37,94.96,5,2.78
23.87,138.02,3,5.24
37.03,278.44,1,4.52
25.13,257.53,5,3.5
26.87,189.85,3,5.88
39.89,396.6,0,7.11
36.67,398.63,5,5.33
11.5,298.38,5,2.41
43.22,250.22,5,5.64
13.69,302.5,3,4.05
12.0,43.76,1,1.48
37.8,199.06,3,6.91
26.61,384.07,3,6.19
41.77,209.04,3,7.24
17.62,217.54,3,4.25
29.14,135.22,3,6.4
22.96,149.9,0,3.13
12.1,44.7,1,1.67
26.63,231.32,3,5.82
16.98,259.7,5,2.59
42.45,365.2,0,7.27
13.56,114.5,0,1.46
41.48,320.09,1,5.23
43.53,94.81,3,7.5
19.22,111.48,1,2.42
23.43,61.38,3,5.05
44.67,84.8,0,7.56
40.5,310.89,1,5.09
10.3,93.78,5,1.97
38.99,107.5,0,6.8
17.54,33.73,5,2.41
23.39,131.91,5,3.2
36.79,124.4,0,6.55
37.53,43.04,3,6.71
17.36,94.03,1,2.22
24.43,92.96,5,3.01
32.54,182.63,3,6.77
3.33,277.4,0,0.48
41.12,104.52,5,5.36
17.18,92.35,1,2.11
36.48,234.6,3,6.81
13.92,188.7,3,3.76
30.63,133.7,3,6.26
36.84,225.82,3,6.73
17.84,284.33,3,4.44
8.63,238.7,0,0.91
42.05,90.14,3,6.96
38.4,137.18,3,6.63
25.36,360.4,0,4.03
30.99,275.63,3,6.65
18.93,80.5,0,1.92
13.11,231.7,0,1.17
35.83,74.77,5,4.95
46.27,98.8,3,8.07
38.44,287.9,0,6.74
43.9,342.78,1,5.99
13.32,56.14,1,1.85
47.45,124.36,3,8.42
41.56,265.74,5,5.63
17.42,110.64,3,4.01
35.85,267.37,1,4.58
27.03,306.24,5,3.7
45.3,325.4,0,7.47
42.93,349.42,3,7.37
18.86,230.8,0,1.82
32.57,176.3,0,6.19
30.93,112.36,5,4.12
16.1,82.22,1,2.08
32.89,156.48,3,6.62
44.73,264.46,3,7.81
31.23,394.03,5,4.13
48.82,388.93,1,7.24
32.73,173.47,3,6.42
49.52,395.5,1,7.34
44.62,349.54,1,6.13
40.26,308.64,1,4.99
38.53,357.59,3,7.08
6.38,60.6,0,0.46
41.78,103.26,3,7.06
16.6,158.49,5,2.47
33.19,240.7,0,6.32
27.14,128.37,3,5.92
27.5,206.43,3,5.84
25.05,260.39,5,3.35
36.62,263.99,3,6.83
23.66,110.5,0,3.48
33.99,249.92,1,4.54
30.03,212.78,1,4.1
18.24,381.48,5,2.67
31.22,62.5,3,6.54
44.22,82.01,5,5.44
38.95,339.29,5,5.49
38.84,342.38,3,7.2
41.96,96.72,3,6.94
14.23,278.31,3,3.85
37.67,284.44,1,4.71
39.95,198.81,5,5.54
3.18,170.5,0,0.51
14.98,71.71,1,1.99
26.19,67.46,5,3.29
11.68,40.76,1,1.5
26.31,187.0,0,4.72
20.6,82.43,3,4.67
0.75,399.4,0,0.23
32.82,297.92,3,6.51
10.08,96.3,0,0.88
10.48,150.67,3,3.86
39.14,35.2,0,7.03
22.18,387.84,3,5.32
24.75,163.26,1,3.31
16.22,83.34,1,2.19
24.71,105.8,0,3.99
17.72,97.41,1,2.28
39.75,303.95,1,4.8
28.74,274.7,0,5.32
22.99,120.41,3,4.98
16.14,146.11,5,2.37
23.11,396.91,3,5.4
26.37,45.54,5,3.39
29.61,150.34,5,4.0
28.91,165.47,3,6.39
30.81,36.36,3,6.19
28.79,54.0,0,5.63
21.97,137.18,1,2.75
25.95,236.92,5,3.61
32.04,110.1,0,6.05
28.07,40.46,3,6.1
37.45,345.39,5,5.09
10.64,31.0,1,1.47
45.12,325.58,5,5.75
23.16,116.68,3,5.15
45.77,358.46,3,8.23
11.26,36.82,1,1.42
31.87,237.38,3,6.6
27.21,241.69,3,5.87
17.43,203.6,0,1.82
28.41,113.0,3,6.16
35.78,263.81,3,6.87
42.3,379.4,0,7.39
41.69,393.42,3,7.45
4.4,290.6,0,0.47
37.08,252.43,3,6.78
21.9,57.82,3,4.68
16.06,264.04,5,2.62
47.32,202.3,0,7.65
27.14,264.4,0,4.89
31.79,76.7,0,6.14
10.03,232.46,3,3.72
31.93,107.68,5,4.2
38.79,277.54,5,5.41
38.13,331.1,3,6.87
21.32,245.81,3,4.78
46.51,215.01,3,8.07
42.89,72.38,3,7.27
35.53,114.65,3,6.82
31.29,231.28,3,6.5
27.77,191.58,1,3.72
35.52,300.61,3,6.66
13.1,54.08,1,1.67
44.52,48.36,5,5.41
23.13,148.06,1,2.97
46.49,182.8,3,8.04
19.68,128.2,3,4.4
14.6,323.05,5,2.46
10.71,155.86,3,3.66
33.95,285.75,3,6.58
21.54,332.4,0,2.7
30.47,216.91,1,4.26
38.37,291.01,1,4.99
44.05,180.67,3,7.45
47.35,183.39,3,8.4
22.48,301.58,3,5.23
31.19,260.31,5,4.22
20.99,255.4,3,4.97
33.44,50.7,0,6.15
15.8,36.44,5,2.27
10.43,95.2,0,1.01
28.53,388.3,3,6.28
14.51,341.6,0,1.63
18.52,190.57,5,2.53
21.79,264.66,3,5.19
18.9,108.48,1,2.45
24.39,159.88,1,3.15
24.13,157.44,1,2.99
47.1,108.3,0,7.84
44.48,348.22,1,6.18
25.33,310.92,5,3.54
37.71,284.82,1,4.8
34.91,232.14,3,6.58
13.94,61.96,1,1.85
10.13,311.21,3,3.85
10.78,356.5,0,1.15
18.74,106.98,1,2.22
20.05,141.07,5,2.52
29.51,29.64,3,6.07
20.75,96.96,3,4.61
29.43,376.31,5,4.08
23.65,89.08,5,3.02
27.11,245.4,0,4.9
38.12,284.7,3,6.97
34.57,393.99,5,4.98
37.22,114.66,3,6.93
39.8,92.36,3,6.99
16.46,129.98,5,2.64
22.84,217.23,3,5.35
23.27,113.96,5,3.0
37.77,172.3,0,6.85
45.11,315.43,3,7.81
32.21,233.23,1,4.2
12.16,110.8,5,2.18
19.39,273.94,3,4.71
15.75,154.56,3,3.79
35.12,301.9,0,6.53
31.87,230.04,1,4.19
11.93,243.64,3,3.61
39.67,303.2,1,4.93
37.12,184.74,3,6.67
34.03,34.22,5,4.36
25.54,346.4,3,5.87
12.91,284.0,0,1.13
37.34,201.53,3,6.77
19.41,226.2,0,2.06
45.0,87.39,3,7.45
37.52,101.5,0,6.57
36.29,118.3,0,6.71
47.72,198.08,5,5.53
21.61,197.18,5,2.96
11.7,146.94,5,2.12
34.44,282.7,0,6.41
42.33,26.88,3,7.23
26.83,114.49,3,5.69
33.62,57.19,3,6.55
13.18,95.4,0,1.32
13.61,144.43,3,3.58
45.22,301.3,0,7.72
46.5,204.4,0,7.77
13.25,62.89,3,3.7
47.12,119.59,5,5.34
39.72,154.4,0,7.08
37.1,358.14,3,7.0
11.38,37.94,1,1.49
24.57,100.61,5,3.15
20.84,109.12,3,4.75
43.92,50.56,5,5.49
30.53,217.47,1,4.06
20.66,184.6,0,2.27
24.87,164.38,1,3.23
49.26,339.93,5,5.72
28.85,269.28,5,4.02
34.06,71.28,3,6.56
37.23,104.0,5,4.99
34.07,49.6,0,6.58
42.82,282.69,3,7.6
17.27,269.66,3,4.29
6.43,84.9,0,0.45
19.84,145.66,3,4.39
14.13,254.04,3,3.7
13.43,90.4,0,1.5
11.06,360.56,5,2.43
25.09,233.15,3,5.64
21.23,130.24,1,2.89
16.56,333.77,3,4.24
28.19,52.8,0,5.46
16.88,174.44,5,2.46
46.93,162.84,3,8.38
22.27,365.85,3,5.01
46.34,135.79,5,5.2
35.77,37.45,5,4.54
15.08,162.5,0,1.55
43.14,335.66,1,5.8
24.39,66.9,0,3.72
10.51,317.6,3,3.97
36.89,94.7,0,6.88
12.84,211.47,5,2.15
32.37,145.5,0,6.15
12.9,38.83,5,2.2
49.79,111.9,3,9.21
16.12,82.4,1,2.2
49.3,393.43,1,7.38
11.73,362.42,3,4.03
14.66,68.71,1,1.85
48.56,205.36,5,5.49
45.57,292.04,3,7.79
13.08,394.62,5,2.55
5.98,279.8,0,0.54
25.77,148.21,3,5.83
18.16,101.54,1,2.31
18.19,387.51,3,4.56
48.22,139.6,5,5.61
29.55,73.18,3,6.41
37.84,375.4,0,6.72
1.45,316.1,0,0.02
22.46,45.79,3,4.73
42.26,34.72,3,7.22
12.02,43.95,1,1.58
7.75,136.3,0,0.75
45.08,353.85,1,6.09
28.61,77.26,5,3.65
45.97,338.8,0,7.77
21.02,43.25,3,4.46
30.29,290.44,3,6.31
46.96,371.49,1,6.65
49.08,176.09,3,9.24
31.22,157.0,0,6.15
18.38,293.62,3,4.39
36.17,137.9,0,6.66
21.74,108.1,0,2.77
15.2,118.37,3,3.92
34.04,233.6,0,6.3
47.4,297.24,5,5.56
12.8,385.92,5,2.52
28.59,199.27,1,3.78
25.16,242.2,0,3.98
15.34,316.7,3,4.19
45.57,105.5,0,7.75
13.02,53.33,1,1.77
28.07,243.64,5,3.95
9.38,250.1,0,0.83
10.61,245.05,3,3.98
23.47,151.25,1,2.98
16.51,193.61,3,4.21
25.24,99.8,0,4.21
16.46,257.4,0,1.59
18.56,78.5,0,1.74
41.88,64.04,5,5.38
14.48,67.02,1,1.85
42.52,329.84,1,5.74
16.7,87.84,1,2.12
19.46,40.66,3,4.43
12.7,146.2,5,2.38
42.29,160.96,3,7.35
22.41,141.31,1,2.78
33.34,68.9,3,6.54
49.04,107.73,5,5.54
30.13,284.6,5,4.23
26.96,96.7,0,4.9
44.92,205.5,5,5.5
14.51,132.23,3,3.84
12.87,383.41,3,3.79
16.98,72.8,0,1.72
27.89,49.62,3,6.02
41.74,285.68,5,5.55
22.65,143.56,1,2.88
22.76,220.2,0,3.05
16.41,286.0,0,1.54
14.39,246.77,3,3.91
23.73,239.35,5,3.23
0.2,122.5,0,0.01
49.54,395.69,1,7.5
27.66,336.9,0,4.98
3.28,311.3,0,0.36
46.82,164.56,5,5.44
40.97,238.19,3,6.95
43.68,340.72,1,5.95
10.5,319.44,5,2.3
30.34,390.2,0,5.9
14.13,58.9,0,1.45
29.45,107.95,3,6.27
12.28,336.91,3,3.78
30.49,135.3,0,6.21
33.69,63.44,5,4.29
14.63,218.7,0,1.62
31.07,45.5,0,6.22
13.48,57.64,1,1.81
29.49,36.69,5,3.73
34.03,250.3,1,4.36
31.03,223.35,5,4.23
22.51,125.6,3,5.12
10.8,61.79,3,3.57
26.54,357.25,3,5.83
25.53,170.57,1,3.26
13.04,53.51,1,1.67
33.31,331.74,5,4.88
47.46,376.18,1,6.83
38.28,211.76,3,6.97
30.33,210.86,3,6.53
22.67,224.54,5,3.05
12.04,355.16,3,3.76
37.21,280.13,1,4.72
16.42,396.8,3,4.39
32.77,238.48,1,4.34
36.92,381.5,0,6.86
23.81,146.38,5,3.12
12.34,94.96,5,2.03
23.41,147.4,0,3.32
23.49,178.9,5,3.01
18.54,357.89,5,2.88
33.5,336.67,3,6.82
23.01,57.6,5,3.14
16.62,309.19,5,2.55
20.0,213.52,3,4.55
33.81,213.72,3,6.75
32.55,178.17,5,4.28
19.9,157.51,5,2.72
34.57,255.37,1,4.55
37.94,104.3,0,6.89
46.75,81.6,0,7.49
46.16,257.47,3,8.08
45.66,359.29,1,6.26
28.13,331.54,5,3.79
30.24,165.7,0,5.99
27.78,237.14,3,6.22
26.67,104.05,3,5.82
48.08,381.99,1,7.06
48.07,104.55,3,8.59
12.48,116.5,3,3.8
25.15,70.83,3,5.66
49.22,69.38,5,5.36
44.74,193.67,5,5.36
37.45,197.96,3,6.76
33.87,257.84,5,4.66
33.73,282.96,5,4.54
11.97,187.96,3,3.85
28.51,85.2,0,5.43
47.65,283.1,0,7.87
28.45,360.46,5,4.01
9.48,174.1,0,0.79
45.12,154.8,0,7.32
48.23,62.5,3,8.84
19.81,52.0,0,2.05
28.49,118.82,3,6.14
29.15,204.53,1,3.92
2.08,338.3,0,0.26
31.69,379.27,5,4.5
24.23,158.38,1,3.12
16.13,384.7,0,1.45
40.1,167.57,5,5.37
